Name,Followers
Riot_esports_Korea,"474,103"
Mangel,"473,580"
Voyboy,"473,240"
Jankos,"472,389"
Willyrex,"471,279"
chocoTaco,"470,301"
Conterstine,"469,734"
BruceDropEmOff,"467,750"
hannahxxrose,"466,290"
AgenteMaxo,"464,769"
Ranger,"463,850"
thegameawards,"462,699"
ixxYjYxxi,"461,648"
SkipNhO,"460,340"
mazellovvv,"459,542"
Forever,"458,666"
Slimecicle,"457,988"
BotezLive,"456,785"
sapnaplive,"455,064"
Inoxtag,"453,994"
Sardoche,"453,640"
BrookeAB,"452,354"
Maximilian_DOOD,"451,881"
SMii7Y,"450,427"
itsHafu,"450,103"
FaZeSway,"448,386"
TFBlade,"447,307"
mrstiventc,"446,870"
egorkreed,"444,735"
NASA,"443,835"
shxtou,"442,311"
JLTomy,"441,102"
WankilStudio,"440,157"
SUJAGG,"439,504"
CapitanGatoo,"438,954"
RRaenee,"438,130"
dota2ti,"437,450"
RiceGum,"437,025"
JohnPanio,"435,947"
ESLCSb,"434,508"
Kitboga,"433,209"
LVNDMARK,"432,999"
BibleBoysChurch,"432,699"
39daph,"432,461"
Thebausffs,"431,532"
JERICHO,"430,747"
polispol1,"430,114"
Beaulo,"428,847"
momoladinastia,"428,279"
MenosTrece,"427,102"
CDawgVA,"425,921"
LakshartNia,"424,644"
fuslie,"424,367"
unsympathisch_tv,"424,103"
csgo_mc,"422,839"
awesamdude,"422,190"
sashagrey,"420,683"
HusKerrs,"419,091"
MrOgone4ek,"418,283"
itsjaylife,"417,657"
Eret,"416,324"
MOONMOON,"414,127"
zEkO,"413,154"
Nadia,"412,570"
A_Seagull,"412,022"
playapex,"410,782"
RTGame,"409,677"
BeyondTheSummit,"409,153"
GENSYXA,"408,051"
unicornio,"406,949"
AussieAntics,"406,210"
jovirone,"405,198"
bytarifaaa,"404,920"
UnknownxArmy,"403,847"
MYM_ALKAPONE,"402,516"
Mickalow,"401,566"
Recrent,"400,774"
W2S,"400,146"
CallMeCarsonLIVE,"399,119"
STPeach,"397,433"
QuarterJade,"397,236"
Chess,"396,515"
SkyrrozTV,"394,882"
JojoHF,"394,099"
WARDELL,"393,428"
Valkyrae,"392,721"
PlayHard,"392,108"
knekro,"391,559"
ohnePixel,"390,638"
Purpled,"390,033"
kennyS,"389,562"
PUBG_BATTLEGROUNDS,"388,834"
frametamer666,"388,114"
RezReel,"387,268"
Patriota,"386,751"
Peereira7,"385,815"
LVPes,"384,715"
bateson87,"383,786"
Etoiles,"383,032"
MacieJay,"382,422"
Nmplol,"381,679"
72hrs,"381,027"
Xiuder_,"380,543"
Rekkles,"379,949"
KingGeorge,"379,462"
pokelawls,"379,043"
YoungMulti,"378,190"
TeeGrizzley,"378,044"
AhriNyan,"376,996"
Eray,"376,586"
StarLadder5,"375,956"
AverageJonas,"375,591"
alexelcapo,"374,616"
PapiGaviTV,"374,133"
dddeactivated__,"373,182"
Mastu,"372,504"
Zemie,"372,246"
RevedTV,"371,733"
Mixwell,"370,944"
Nick28T,"370,637"
Pink_Sparkles,"369,923"
nilojeda,"369,460"
vei,"368,808"
Grimmmz,"368,484"
s0mcs,"367,722"
ROSHTEIN,"367,403"
agustin51,"366,839"
sometimepro,"366,023"
Ubisoft,"364,952"
Adal,"364,477"
GothamChess,"363,903"
aircool,"363,360"
nyanners,"362,782"
우왁굳,"362,108"
Smzinho,"361,388"
skeppy,"361,001"
stylishnoob4,"360,294"
KittyPlays,"359,537"
Faide,"358,838"
Y0L0AVENTURAS,"357,977"
HandIOfIBlood,"357,240"
lubatv,"356,705"
AntoineDaniel,"356,440"
D3stri,"355,514"
Brunenger,"354,992"
DalasReview,"354,769"
CORINNAKOPF,"354,016"
cheatbanned,"353,575"
Xayoo_,"353,241"
TeePee,"352,382"
QTCinderella,"352,206"
Frankkaster,"351,627"
SivHD,"351,392"
rickyedit,"351,027"
d0tyaq,"350,357"
CreamTheRabbit,"349,603"
ZEON,"349,370"
INSCOPE21TV,"349,127"
Dendi,"348,801"
MRLUST,"347,388"
okyyy,"346,898"
LPL,"346,541"
casanovabeams,"345,930"
conner,"345,491"
jhdelacruz777,"345,284"
GrenBaud,"344,123"
StRoGo,"343,795"
berkriptepe,"343,648"
Elwind,"343,056"
vinnie,"342,623"
xRohat,"341,694"
Pengu,"341,366"
Welyn,"341,010"
IJenz,"340,467"
Alliege,"339,989"
Fitz,"339,418"
Jinnytty,"338,519"
charlesleclerc,"337,778"
Subroza,"337,270"
Bagi,"336,715"
SoyPan,"336,515"
KingGothalion,"336,401"
aimsey,"335,790"
xChocoBars,"335,455"
schrodingerLee,"335,068"
lestream,"334,500"
XANDAOOGOD,"333,965"
Otzdarva,"332,843"
strixtlyz,"332,302"
CH14,"331,987"
dunkstream,"331,717"
brtt,"331,193"
MatteoHS,"330,886"
Baiano,"330,505"
TPAIN,"330,003"
hastad,"329,374"
SidneyEweka,"329,076"
mitr0,"328,159"
Towelliee,"327,836"
mount,"327,707"
Joueur_du_Grenier,"327,260"
ElChiringuitoTV,"327,096"
Reetlol,"326,016"
m0NESYof,"325,662"
Emongg,"325,392"
loud_voltan,"325,141"
DarkarCompany,"324,917"
Anas_Off,"324,568"
Yogscast,"324,337"
DuendePablo,"323,656"
JaidenAnimations,"323,461"
SquishyMuffinz,"323,028"
dota2ti_ru,"322,438"
heyimbee,"322,041"
5up,"320,971"
dreamwastaken,"320,409"
Caprimint,"319,715"
TolunayOren,"319,266"
Dota2RuHub,"318,887"
AOC,"318,781"
blackelespanolito,"317,851"
LyonWGFLive,"317,377"
jjjjoaco,"317,264"
MuTeX,"316,910"
JenFoxxx,"316,720"
Amaru,"316,483"
Tectone,"316,049"
HoneyPuu,"315,761"
괴물쥐123,"315,175"
kussia88,"314,232"
rociodta,"313,221"
yeTz,"312,413"
Terracid,"311,993"
alewang,"311,185"
MateoZ,"310,770"
CodeMiko,"310,160"
EWROON,"309,677"
ReventXz,"308,971"
AQUINO,"308,300"
Emikukis,"307,835"
MrSoki,"307,471"
Reckful,"307,010"
runthefutmarket,"306,512"
CashNastyGaming,"306,067"
TobiasFate,"305,337"
m0E_tv,"304,596"
melina,"304,093"
FFearFFul,"303,860"
Maghla,"303,516"
akyuliych,"303,107"
TapL,"302,604"
오킹,"302,388"
pgod,"302,222"
pimpimenta,"301,936"
aXtLOL,"301,472"
Pieface23,"301,323"
加藤純一です,"301,142"
PostMalone,"300,428"
dafran,"300,092"
Leynainu,"299,328"
JASONR,"299,006"
WHOPLOHOYPAREN,"298,700"
buddha,"298,096"
GTimeTV,"297,683"
FaZeBlaze,"297,519"
oucikosu,"297,171"
PlayStation,"296,769"
dizzy,"296,461"
Dilera,"296,023"
LACOBRAAA,"295,904"
fl0m,"295,243"
mistermv,"294,861"
IWDominate,"294,494"
Dantes,"294,217"
Lachlan,"293,853"
ONSCREEN,"293,430"
souljaboy,"293,206"
dannyaarons,"293,095"
Milan926_,"292,731"
Technoblade,"292,534"
AdrianaChechik_,"292,168"
CooLifeGame,"291,622"
Grimm,"290,918"
ZLOYn,"290,330"
AnniTheDuck,"290,139"
Giantwaffle,"289,782"
Levo,"289,596"
AsunaWEEB,"289,365"
Vadeal,"288,907"
PlayHearthstone,"288,737"
RiotGamesTurkish,"288,362"
NiklasWilson,"288,009"
ElmiilloR,"287,784"
Pelicanger,"287,233"
SilverName,"286,911"
DougDoug,"286,640"
Roblox,"286,503"
PintiPanda,"286,416"
Noni,"286,146"
tuonto,"285,790"
ZONY,"285,546"
annadeniz,"285,223"
DansGaming,"285,096"
LetsHugoTV,"284,769"
ORIGINPC,"284,258"
AdmiralBahroo,"284,130"
OLESYALIBERMAN,"283,524"
KYR_SP33DY,"283,261"
Kolderiu,"282,916"
dangerlyoha,"282,529"
Mews,"281,881"
Skyyart,"281,705"
gratis150ml,"281,155"
sweetdreams,"280,521"
midbeast,"280,068"
Amaz,"279,706"
だるまいずごっど,"279,447"
DavidDobrik,"279,280"
ALOHADANCETV,"278,743"
Espe,"277,970"
ovotz,"277,633"
iaaraS2,"277,298"
lilsimsie,"277,201"
THERUSSIANBADGER,"276,603"
mokrivskyi,"276,480"
Teeqzy_,"276,315"
Quin69,"276,052"
musty,"275,573"
olofmeister,"275,377"
Bungie,"274,920"
Monstercat,"274,421"
ranboobutnot,"274,151"
RATIRL,"273,882"
orslok,"273,444"
TSM_TheOddOne,"273,157"
ryux,"272,765"
TBJZL,"272,413"
Paluten,"272,090"
mL7support,"271,984"
Nightbot,"271,763"
filian,"271,462"
hJune,"271,136"
RebirthzTV,"270,524"
TwitchPresents,"270,238"
rezonfn,"269,840"
Nuvia_OuO,"269,473"
asianbunnyx,"268,863"
TrumpSC,"268,519"
Homyatol,"267,746"
Rogue,"267,372"
itsRyanHiga,"266,999"
Tanizen,"266,613"
imantado,"266,324"
vickypalami,"266,026"
luisenrique21,"265,709"
Enviosity,"265,413"
HungryNotThirsty,"264,954"
KayPea,"264,557"
H1ghSky1,"264,022"
Ponce,"263,579"
Crayator,"262,970"
TSM_Viss,"262,700"
buckefps,"262,464"
rostislav_999,"262,028"
Thijs,"261,971"
NAKOO_Fn,"261,450"
Hype,"261,369"
DanucD,"261,116"
Wolfiez,"260,820"
chowh1,"260,594"
침착맨,"260,289"
AdmiralBulldog,"259,890"
PietSmiet,"259,729"
hardgamechannel,"259,424"
Aa9skillz,"259,199"
Maya,"259,036"
Kareykadasha,"258,977"
Warcraft,"258,537"
AlpTV,"258,418"
Froggen,"257,739"
StreamerHouse,"257,549"
Werlyb,"257,181"
Kaydop,"257,077"
ElFedelobo,"256,803"
Bichouu_,"256,609"
WILDCAT,"256,569"
GassyMexican,"256,047"
Nissaxter,"255,835"
ImMarksman,"255,697"
stormen,"255,261"
Arteezy,"254,764"
gskianto,"254,332"
Aiekillu,"254,215"
KamoLRF,"253,994"
Xbox,"253,812"
GeT_RiGhT,"253,565"
PAGO3,"253,345"
NiceWigg,"253,138"
StarLadder_cs_en,"252,983"
Rumathra,"252,532"
cacho01,"251,751"
TANZVERBOT,"251,437"
Laink,"251,006"
LoganPaulWasTaken,"250,831"
daltoosh,"250,546"
skywhywalker,"250,255"
Grizzy,"249,859"
Nix,"249,208"
stevewillsendit,"248,815"
Sharishaxd,"248,694"
HRKChannel,"248,448"
LOUD_Mii,"248,277"
angryginge13,"248,050"
Vikkstar123,"247,851"
TaliaMar,"247,316"
Hazretiyasuo,"246,912"
ESL_DOTA2,"246,804"
adolfz,"246,670"
Shiphtur,"246,586"
DarkViperAU,"246,076"
Aphromoo,"245,595"
miafitz,"245,021"
Sacriel,"244,898"
momonkunn,"244,742"
MLG,"244,606"
julien,"244,498"
noahreyli,"244,380"
xFibii,"243,968"
ziGueira,"243,853"
evaanna,"243,697"
