Name,Followers
Mr & mrs choudhary,"18,400,000"
Ronaldinho,"18,300,000"
pokrov🥑,"18,300,000"
Judith Arias,"18,300,000"
derkslurp,"18,300,000"
Bella Rose,"18,300,000"
Matt Rife,"18,300,000"
ميتو الشامسي,"18,200,000"
Lishay,"18,200,000"
DermDoctor | Dr. Shah,"18,200,000"
Emilly Vick,"18,200,000"
Mirta Miler,"18,100,000"
Dude Perfect,"18,100,000"
Sergio Ramos,"18,100,000"
TwistedPennywise,"18,100,000"
avemoves,"18,100,000"
Deborah yowa,"18,100,000"
𝓢𝓱𝓪𝓾𝓷𝓲 ✨,"18,100,000"
Lea Elui,"18,100,000"
Logan Paul,"18,100,000"
Cash Baker,"18,100,000"
Meghan Trainor,"18,000,000"
Joey Klaasen,"18,000,000"
Jailyne Ojeda,"18,000,000"
Nathalia,"17,900,000"
Manu,"17,900,000"
AugustoGimenez,"17,900,000"
Sarah Magusara,"17,900,000"
Liverpool FC,"17,900,000"
Unaa🍜,"17,900,000"
lesliemckenzzie,"17,800,000"
rebecca zamolo,"17,800,000"
Aylin,"17,800,000"
Mariana,"17,800,000"
Hannah Balanay,"17,800,000"
AbjkMRstY,"17,800,000"
Berywam,"17,800,000"
Ibai,"17,800,000"
Zachery Dereniowski,"17,700,000"
MARIANA,"17,700,000"
themermaidscales,"17,700,000"
LeendaDong,"17,700,000"
supercarblondie,"17,700,000"
Jeffrey mensen,"17,600,000"
JLO,"17,600,000"
Itayvargas✨,"17,600,000"
Juyycomell🌸,"17,600,000"
Alexis Omman,"17,600,000"
danya_milokhin,"17,600,000"
Cesar Pantoja,"17,600,000"
Floofnoodles,"17,500,000"
이시영,"17,500,000"
Mel Maia 🍯,"17,500,000"
N E N A 🍓,"17,500,000"
China,"17,400,000"
Legna Hernández,"17,400,000"
Erika Buenfil,"17,400,000"
Deamontol,"17,400,000"
Jake Paul,"17,300,000"
Savage,"17,300,000"
deepins,"17,300,000"
Sonia Mayu,"17,300,000"
Lara Silva 🦊,"17,300,000"
Milan,"17,200,000"
Felipe Neto,"17,200,000"
Camila Cabello,"17,200,000"
Georgie Boy,"17,200,000"
Jasmine Chiswell,"17,200,000"
Cindy👄,"17,200,000"
신사마 SHINSAMA,"17,200,000"
Vector,"17,300,000"
Ingrid Ohara,"17,100,000"
Wren & Jacquelyn,"17,100,000"
Vladimir Grand,"17,100,000"
junpei zaki,"17,100,000"
Hoor Mahaveera,"17,100,000"
Yef,"17,100,000"
marko,"17,000,000"
gordeewa__13 :>,"17,000,000"
NLE choppa 💜,"17,000,000"
Luisillo El Pillo,"16,900,000"
HolyGxd ( HolyGod ),"16,900,000"
brittikitty,"16,900,000"
Marcus Olin,"16,900,000"
Aydas عايدة,"16,900,000"
MADI MONROE,"16,900,000"
Luísa Sonza,"16,900,000"
Ryan Adams,"16,900,000"
Wue Silva,"16,800,000"
Ara y Fer,"16,800,000"
McKenzi Brooke,"16,800,000"
Grae Cabase ᵗᵈ,"16,800,000"
Barbie grew 🧚🏾‍♀️,"16,800,000"
"Sandra Lee, MD","16,800,000"
otakoyakisoba,"16,800,000"
orsonpadilla,"16,800,000"
Javier Romero,"16,800,000"
