Channel,Subs
Taciele Alcolea,5.88M
ESPN Brasil,5.87M
Tatá e Henrique,5.85M
Louix,5.85M
Almanaque x,5.84M
Família MC Divertida,5.83M
MrPoladoful,5.8M
Farmees Português - canção infa…,5.8M
Cronos,5.78M
MOMENTO DA CRIANÇA : TIA CRIS KIDS,5.77M
Gah Marin,5.77M
Maisa Silva,5.76M
SBT News,5.76M
Musile Records,5.74M
Galinha Pintadinha Mini,5.73M
Biankinha,5.72M
Brenda Campos,5.7M
Bianca Andrade,5.7M
Xand Avião,5.7M
Brincando Com a Tia Fla,5.69M
Funk Explode,5.64M
Henrique Nemes,5.64M
Musculos e Corpo Definido,5.63M
Celso Portiolli,5.62M
TV Globo,5.6M
O Victor Magalhães,5.6M
PAULINHO O LOKO,5.6M
Ferrugem,5.59M
Spok,5.58M
Balanço Geral,5.57M
Coffee DFN,5.56M
Hytalo Santos,5.55M
Canal da Belinha,5.54M
Luis Mariz,5.53M
Metaforando,5.53M
Bob Esponja em Português,5.52M
Jana Taffarel,5.48M
Manteiga,5.48M
Kids Tv em Português - musica inf…,5.48M
John Leitão,5.47M
Flow Podcast,5.47M
Sikera Junior,5.46M
Castro Brothers,5.44M
Mano Walter,5.42M
Luluca Games,5.42M
Gabriel Freitas,5.41M
RD Gameplay,5.4M
Julia Olympio,5.39M
BaixaMemoria,5.39M
Os Pingos nos Is,5.38M
Fernandinho Ministério Faz Chover,5.38M
Goularte,5.36M
Aruan Felix,5.34M
Família Anny e Eu Family,5.34M
GIOH,5.33M
HeyDavi,5.33M
Teen House,5.31M
Pedro Bennington,5.29M
DONKEY13,5.29M
Vitor Tarifa,5.29M
Felipe Araújo,5.27M
WIIFEROZ,5.25M
Millena e Manu Maia,5.25M
Zé Vaqueiro,5.22M
Rafael Chocolate,5.22M
BRUNO CAMPOS,5.2M
Band Jornalismo,5.19M
Dilsinho Oficial,5.19M
Cadres,5.19M
Caue Moura,5.16M
Mundo Gloob,5.13M
Na CorreRia,5.12M
Gabriella Saraivah,5.1M
Tirullipa Show,5.09M
Piripaque TV,5.09M
Lucas Bastos,5.09M
Família Erlania e Valentina Pontes,5.08M
Banheiristas,5.06M
Profeta Vinicius Iracet,5.06M
CasalDeNerd,5.06M
Canal 90,5.06M
MasterChef Brasil,5.06M
Caseirices,5.04M
LOUD Babi,5.04M
Inutilismo,5.03M
Lucas Clash ON,5.03M
funBABE,5.01M
CartoonKiDS BR,5.01M
Orações de Fé,4.99M
Final Level,4.99M
Tia Dani,4.98M
Zig e Sharko,4.98M
Raissa Chaddad,4.95M
Febatista,4.94M
Monica Toy,4.93M
Coisas de Filó,4.93M
Nauta,4.92M
Flavia Pavanelli,4.91M
Tutu Sangome TV,4.9M
Tierry Oficial,4.9M
Gui Nobre,4.88M
MisterRua,4.88M
Irmãos Lemos,4.87M
Você Sabia GAMES,4.86M
Bruno Vlogs,4.86M
NetMovies,4.84M
Baby Doll Kids,4.83M
Cherryrar,4.83M
Mundo Gamer Brasil,4.83M
Pokey,4.82M
TOGURO,4.81M
CNN Brasil,4.8M
Roberto Carlos,4.8M
Doug Filmes,4.79M
Simone Mendes,4.79M
Nina Baiocchi,4.79M
Treta News,4.77M
Italianinho,4.76M
Brisando com Ruy,4.75M
MixReynold,4.75M
Ciência Todo Dia,4.74M
ADORADORES NA NET,4.74M
mabiiu,4.73M
Burn,4.73M
Ideias Incríveis DIY,4.72M
Professor Noslen,4.72M
Bete com carinho,4.71M
BAK,4.7M
Inemafoo,4.7M
Zoio Do dia,4.7M
Bruna Barbie,4.7M
10ocupados,4.7M
Cardio DF — Cardiologia e saúde…,4.7M
xnicklc,4.69M
Andcarli,4.67M
nomegusta,4.66M
DENNIS,4.66M
Baby Alive For Fun,4.66M
Crusher Fooxi,4.66M
Jogo Aberto,4.65M
Jessica e família,4.65M
Ronazim,4.65M
TIA RUTE e DAVI,4.63M
Vivianne Miranda,4.62M
SportsHD,4.61M
Canal Desconfinados,4.61M
Evelyn Regly,4.6M
Julia Silva,4.58M
Baby Alive Brasil,4.58M
Abluba Desenhos Animados,4.56M
Jovem Pan Esportes,4.54M
Fiaspo,4.54M
BDA - Batalha Da Aldeia,4.54M
Orochinho,4.54M
Vitória MineBlox,4.53M
Paula Stephânia,4.53M
Morgana Santana,4.53M
ChuChuTV Brazil,4.52M
bradesco,4.52M
Amanda Domenico,4.52M
Lucão,4.51M
Lkzinhu,4.51M
Victor Melo,4.51M
A Praça É Nossa,4.5M
Toy Cake Tia Fla,4.5M
Edu Primitivo,4.49M
Vilhena,4.48M
DJ Guuga,4.48M
Jornal da Record,4.47M
Lilian Melchert,4.46M
POCOYO em PORTUGUÊS BRASIL - Cana…,4.46M
Frei Gilson / Som do Monte - OFICI…,4.46M
Bella Dias Makeup,4.45M
AchismosTV,4.45M
Deck,4.44M
IZA,4.43M
Neymar Jr,4.43M
Descomplica,4.41M
Enzo Rabelo,4.38M
Ciclone Funk,4.37M
Mariana Nolasco,4.37M
Discovery Kids Brasil,4.37M
Cadê a chave?,4.36M
leozlinski,4.34M
Ladinzera,4.34M
Metralha dos Bailes,4.33M
Oimavih,4.31M
Raí Saia Rodada,4.31M
Pipocando,4.3M
Sorriso Maroto,4.3M
PJ Masks Brasil – Canal Oficial,4.29M
FALCON FILMES - RENAN FALCÃO,4.28M
Pablo Games,4.28M
T3ddy Games,4.28M
CAIO E CADU,4.28M
Sam Bechara,4.27M
Léo Santana,4.27M
AssopraFitas,4.27M
Família Arqueira,4.27M
Laura Brito,4.25M
Japa,4.25M
BARBIE FILMES BR,4.25M
ge,4.25M
Diário da Carol,4.23M
Vanessa Mendes,4.23M
Ryan Samuel,4.23M
PEDRO SAMPAIO,4.23M
TOP,4.22M
Melhores Músicas Gospel,4.21M
Diversão Todo Dia,4.2M
EduKof,4.2M
Padre Reginaldo Manzotti,4.19M
Abner e Ste,4.19M
Katlenof,4.19M
Mansão Movie,4.18M
Cúmplices de um Resgate,4.17M
Zangado,4.16M
AQUARELA KIDS,4.15M
Maicon Küster,4.15M
Zezé Di Camargo & Luciano,4.14M
Gu e Ju,4.14M
Canal History Brasil,4.14M
RENILDÃO OFICIAL,4.14M
KidsChannel BR,4.13M
Thiago Gravações,4.13M
Drawn Mask,4.13M
Moonbug Kids em Português - Desen…,4.12M
MC Poze do Rodo,4.12M
Isadora Pompeo,4.12M
Animalex,4.11M
Somos 5inco,4.11M
Carrossel,4.1M
Igão Underground,4.09M
Racionais TV,4.09M
Grupo Menos é Mais,4.08M
Sil konce,4.08M
Sadstation,4.07M
Leandro Borges,4.07M
João Guilherme Ávila,4.07M
Inteligência Ltda,4.06M
Douglas Mauro,4.06M
Damares Oficial,4.06M
Rick Marin,4.06M
Pablo Toneti,4.05M
Corbucci Eats,4.05M
TecMundo,4.04M
Dolly's Stories KIDS,4.02M
GIGI E DIEGO,4.02M
Paula Fernandes,4.02M
Julia Doorman Cabelos de Rainha,4.02M
Hugo Milgrau,4.01M
Ministério Zoe Vida de Deus,4.01M
"Pinkfong, Bebê Tubarão! Cançõe…",4M
123 GO! GOLD Portuguese,4M
Midas Music,4M
Wolff,4M
FOTD Flix of the Day,4M
Discovery Brasil,3.99M
Música Multishow,3.98M
Gesiel Taveira,3.98M
Beleza Teen,3.98M
Xuxa,3.97M
Godenot,3.95M
NiinaSecrets,3.95M
JW GAMES,3.95M
Exercício em Casa,3.95M
MuuhPro,3.94M
Pobre Também Dubla,3.94M
