Channel,Subs
Duniyar Hausawa,132K
English Space Club For Learning,132K
ZOKEtv,132K
Taskar Al'ummah,132K
House On The Rock,130K
COZATV,130K
Hausa Blog TV,130K
OVUADA OKPEN,130K
MRCALEBTOONS,130K
La Springs,130K
Tina's Asiri TV,130K
Nelo stitches,130K
Nino12x,130K
Apkgamer,130K
MacidaTv,130K
GIDAN HAUSA24,129K
Real Relationship conversations,129K
Potters Pictures Tv,129K
Prime NollyTV,128K
Freeme T.V,128K
Mickie Jay,128K
GIST FIRST TV,128K
Fada Ebube Muonso,128K
HAUSA SOYAYYA TV,127K
CHYZ NOLLYTV,127K
BOB HEARTS ABISHOLA,127K
Masster Lee,127K
Superboy CHEQUE,127K
Classy Jesters,127K
HAUSA INTERNATIONALTV TV,126K
Stylemebynancy,126K
GbajumoTV+,126K
NIGERIAN WEDDING DIARY,125K
lampstaketv,125K
Alan waka,125K
Ternet Kid,125K
Runner Studios,125K
TyneeBee,125K
TPH MEDIA,124K
Orezi,124K
Pencil Unbroken Show,124K
Juliet Beauty Recipe,123K
Usher ReactZZ,123K
Broadway  Nolly TV,123K
Maboplus,123K
Think Natural,123K
Naya Nzeka,123K
David Cliq,123K
Harrysong,123K
Preetyomahs World,123K
Plus TV Africa,123K
ADABA. D.GUITARIST,123K
Nelo Okeke,122K
Latest Trending TV,122K
De-9ja Music Ent.,122K
Austin Betha,122K
Dj AB,122K
The needle Woman,122K
ann usman,121K
Read Nigeria Network,121K
Onaji julius,121K
DiamondOkechiTV,121K
ApreelTV+,121K
I-Media TV,120K
Arewa Musical,120K
HI JEREEL,120K
URBAN XTRA,120K
Boomplay Music,120K
Mazaje Trado,120K
Destiny Boy,120K
MOVIE GALLERY,120K
Emeske toons,120K
Aproko Doctor,120K
The Elevation Church,119K
KBrown,119K
BeingRealGeorge,119K
Billionaire Prince White,119K
Yadah,119K
Anita Ihesie TV,118K
BEST NOLLY TV,118K
SARKIN DARIYA,118K
Living With My Dad,118K
NOLLYTOUCH STUDIOS,118K
Mind Beauty And Fashion World,118K
Idowu Agbes Parliament Ltd.,117K
MI3 TV,117K
MC YOLA OFFICIAL,117K
Nollywoodcentertv,117K
TWINSTALKER TV,117K
Smooth Time,117K
Nasboi,117K
Tijjani Asase,117K
Naija Gist Direct,117K
Aunty Flora comedy,116K
Africa Today,116K
Social Tv,116K
Momee Gombe,116K
Madiba Nolly Tv,116K
MR ANGEL,116K
Twinzlove,115K
Andra and what's good,115K
UNTOUCHABLE TV,115K
Eno Jerry,115K
Vivian Okeke,115K
Treasure Nma,115K
Nabuga Niger TV,115K
JF_247,115K
Skool Beatz,115K
The Critics,115K
AWA24 SERIES,114K
SU Channel,114K
Insta’Mix Fashion,114K
Jay Gold Update,114K
Nevada Bridge Television,114K
MCG Empire,113K
MAIJALALAINI TV,113K
BLACK AND SHINE,113K
HBM beauty,113K
Solomon King,113K
Matan zamani 1,113K
NOLLYWOODSTAR CHANNEL,113K
QEDNG,113K
Ekwutousi Philo,113K
Soundcity,112K
Victor Olukoju PVO,112K
Dq4echeeks,112K
MrFunnyChi,112K
lbizaNaijaTV I NOLLYWOOD,112K
OGAFLEX COMEDY,112K
SOSO,112K
starr larh,112K
dandizzy,112K
Go mix tok,112K
officialNiniola,111K
The Geng,111K
Eternity Waves,111K
Glamour Nolly Tv,111K
NASIBI TV,111K
DX10HD3,111K
ENTERTAINMENT SKITS,111K
Nollywood Studios,110K
Bino and Fino,110K
Masterkraft,110K
NOLLYWOOD ALL IN ONE TV,110K
Moussa Yaro,110K
Vivia Christian Inspiration,110K
NTV News Hausa,110K
FOODIES,110K
Idols Nigeria,109K
UGWUMBA TV,109K
LAURE HAUSA TV,109K
Aaron Chidi,109K
Isah Ayagi,109K
Rejoice Iwueze,109K
Abdallah Amdaz,109K
HOME OF ANKARA,109K
Twinsof Africa2,108K
Sunshine NollyTv,108K
3plewahala,108K
ODUMODUBLVCK,108K
officialtiwasavage,107K
Dream Catchers Academy,107K
Xclusiveloaded TV,107K
علماء بوركينافاسو,107K
Bayanni,107K
Soja Boy,107K
BIAFRA UNITE,107K
Arewa Daily Tricks,107K
The Tony Elumelu Foundation,106K
Trust In God Tv,106K
Abba Csale,106K
BROJAYS VLOG,106K
Nick Finance Naija,106K
MURADI TV 24,106K
AMD TV HAUSA,106K
Yhinksweet ladies place,105K
WHITE LION MEDIA,105K
GAZ MIKO TV,105K
Getfitng,105K
Rahul gadri Creations,105K
Ovuada Vlogs,105K
My Nigerian Folktales,105K
Nurer Daily™,105K
AREWA 747TV,105K
NOLLY SERIES TV,105K
Preye Odede,105K
DBanjVEVO,104K
Idorenyin Ibanga,104K
News Central TV,104K
Official Pokopikin || OBIOMA TAILOR,104K
Ilimantarwa Tv,104K
Abbey ojomu,104K
@Ali Daddy TV,104K
SRMDEditsHD,104K
The SILEM,104K
AcapellaTV,103K
RITETIME HAUSA TV,103K
StartNOW Express,103K
AKtivated TV,103K
Olamilekan Akewiagbaye,103K
NETFIRM,103K
Kamsi Nnamani,103K
AmenRadio #KeepOnBelieving,103K
KS,103K
OfficialMaFamille,102K
AMBROSE ?,102K
Platinumnollytv,102K
My Naija TV,102K
Real Angela Okorie,102K
SAFIYYAT TV HAUSA,102K
MUILI SEUN,102K
Haydar_shorts,102K
Access Clips Tv,102K
HTF With Bolanle,102K
PARDONCTV,102K
Aputu,102K
GabrielMosesTv,101K
Kanny Entertainment,101K
Salim Smart,101K
RESET LIFE TV,101K
DaboTop Tv,101K
The Voice Tv NG,101K
Umu Obiligbo,101K
AFRO RATING,101K
Cbnlcomedy,101K
Nollywood Gist,101K
Taskar Malaman Sunnah Tv,101K
NOLLYHOODTV,100K
CHOC Studios,100K
Hi Speed Music,100K
The Ekklesia Global,100K
Adams Dorayi,100K
DroidVillaz,100K
THE NOLLYWOOD GIST,100K
FAVOUR OMA,100K
Sheikh Aminu Ibrahim Daurawa,99.9K
DIKAN,99.6K
NOLLYTOP TV,99.3K
