Name,Followers
Jessica Iskandar,"33,328,256"
hakki akdeniz,"33,140,335"
Netflix US,"33,096,122"
Jackson Wang,"33,047,627"
INDONESIAN QUEEN MAKER,"32,901,260"
Team India,"32,865,637"
Victoria Beckham,"32,677,672"
Niall Horan,"32,643,031"
Sabrina Carpenter,"32,639,072"
Dan Bilzerian,"32,567,665"
Avneet Kaur,"32,504,582"
Tamer Hosny,"32,489,152"
Samantha,"32,464,356"
Golden State Warriors,"32,461,159"
Cole Sprouse,"32,321,335"
apple,"32,288,667"
Shilpa Shetty Kundra,"32,243,538"
AGNEZ MO,"32,101,754"
Viih Tube,"32,088,846"
marshmello,"32,014,892"
Jason Derulo,"31,965,455"
Hugh Jackman,"31,944,102"
Anne Hathaway,"31,910,601"
FAISAL SHAIKH,"31,889,476"
EA SPORTS FC,"31,820,882"
Megan Thee Stallion,"31,819,958"
Hande Erçel,"31,814,553"
Eliana Michaelichen,"31,778,894"
Otabek Umarov,"31,766,405"
SHEIN.COM,"31,765,049"
LUÍSA SONZA,"31,718,021"
halsey,"31,712,792"
Zaskia Sungkar,"31,489,003"
Zaskia Shinta,"31,382,102"
Awez Darbar,"31,283,749"
Sabrina Sato,"31,231,891"
PlayStation,"31,218,834"
50 Cent,"31,197,278"
Isco Alarcon Suarez,"31,105,895"
Ice Cube,"31,085,881"
Rina Nose,"31,080,523"
YouTube,"31,056,751"
Sergio Leonel Agüero,"31,000,903"
Sayyed Arishfa Khan ?,"30,965,468"
WWE,"30,943,972"
Everson Silva (Tirú),"30,792,445"
Dolce&Gabbana,"30,745,052"
Juliette,"30,630,558"
Juliana Paes,"30,549,542"
LUDMILLA,"30,461,907"
Mohamed Ramadan,"30,314,822"
Sidharth Malhotra,"30,270,714"
Reese Witherspoon,"30,193,768"
Porsche,"30,114,002"
Syahnaz Sadiqah,"30,092,120"
Ronaldo,"30,063,413"
Emily Ratajkowski,"30,043,904"
Versace,"30,030,599"
carlinhos,"29,918,079"
ICC,"29,883,504"
JoJo,"29,876,251"
NFL,"29,791,695"
Floyd Mayweather,"29,726,949"
Rockstar Games,"29,613,649"
Sebastian Yatra,"29,596,639"
TWICE,"29,552,231"
mon,"29,545,071"
Giovanna Ewbank,"29,408,092"
Zach King,"29,367,080"
Scott Disick,"29,359,477"
Mark Wahlberg,"29,318,206"
shreyaghoshal,"29,299,228"
Chiara Ferragni ✨,"29,273,848"
The Shade Room,"29,052,596"
Davido,"28,928,683"
Ferrari,"28,928,070"
Chelsea Olivia Wijaya,"28,924,799"
adidas,"28,843,238"
Stray Kids,"28,826,940"
Johnny Depp,"28,820,533"
Arsenal,"28,811,597"
Ahmed Abouhashima,"28,809,916"
Hardik Himanshu Pandya,"28,721,055"
Shireen Sungkar,"28,714,268"
isis valverde,"28,615,542"
Alok,"28,515,899"
Nidhhi Agerwal ?,"28,505,478"
Lily Collins,"28,477,588"
emilia_clarke,"28,220,019"
C A M I L O,"28,194,101"
Lestikejora,"28,186,050"
Salma Hayek Pinault,"28,181,924"
Riyaz Aly,"28,128,426"
ГУСЕЙН ГАСАНОВ,"28,113,549"
Manpreet kaur,"28,103,287"
LA ROSALÍA,"28,031,822"
Sonakshi Sinha,"28,013,441"
Via Vallen,"27,886,777"
Jordan,"27,732,122"
Alicia Keys,"27,546,487"
Jude Bellingham,"27,545,948"
Eden Hazard,"27,527,867"
????? ???????? ??,"27,523,425"
Verrell Bramasta,"27,479,833"
Mesut Özil,"27,448,793"
Simaria,"27,377,442"
KEVINHO,"27,367,738"
Nicole Bahls,"27,228,736"
Henry Cavill,"27,183,069"
BBC News,"27,178,391"
Kajal A Kitchlu,"27,175,218"
Fabrizio Romano,"27,165,399"
Logan Paul,"27,058,648"
Jimmy Fallon,"27,019,319"
Cameron Dallas,"26,979,312"
Mia K.,"26,948,519"
Sonu Sood,"26,935,486"
Hilary Duff,"26,920,919"
Ángel Di María,"26,916,018"
Rodrigo Faro,"26,886,020"
Suresh Raina,"26,838,581"
지창욱,"26,815,476"
ESPN,"26,790,157"
6ix9ine,"26,721,524"
Liam Payne,"26,708,684"
Zé,"26,691,830"
TikTok,"26,583,458"
Deborah Secco,"26,539,716"
이종석,"26,539,047"
Pooja Hegde,"26,482,108"
Hannah Stocking,"26,431,824"
Paris Hilton,"26,415,144"
FORMULA 1®,"26,394,670"
Ester ?,"26,350,638"
Divyanka Tripathi Dahiya,"26,313,993"
Nina Dobrev,"26,283,851"
Sadie Sink,"26,264,951"
Coldplay,"26,238,432"
Lili Reinhart,"26,174,533"
Fábio de Melo,"26,167,664"
BEAUTIFUL DESTINATIONS,"26,117,056"
Arnold Schwarzenegger,"26,113,306"
Nia Ramadhani Bakrie,"26,104,844"
Grazi Massafera,"26,093,475"
박서준,"25,965,661"
Fortnite,"25,928,618"
Jake Paul,"25,868,668"
King Bach,"25,809,613"
Kevin De Bruyne,"25,776,399"
Angel Rai :),"25,729,213"
Claudia Leitte,"25,512,020"
Calvin Klein,"25,493,243"
Jessica Mila Agnesia,"25,484,755"
Jair M. Bolsonaro,"25,464,980"
Anna Kendrick,"25,356,253"
camila mendes,"25,325,307"
postmalone,"25,285,935"
Kylie Cosmetics,"25,260,915"
Burak Özçivit,"25,163,286"
Netflix Latinoamérica,"25,115,916"
iansomerhalder,"25,114,063"
Tamannaah Bhatia,"25,112,616"
BELLA,"24,847,102"
Sommer Ray,"24,844,827"
Madelaine Petsch,"24,761,187"
Allu Arjun,"24,732,994"
EarthPix ? Travel,"24,719,759"
Gading Marten,"24,691,808"
Ananya ??,"24,648,081"
David Luiz,"24,639,415"
نادي النصر السعودي,"24,615,326"
Shruti Haasan,"24,601,312"
Amber Rose,"24,534,522"
Doja Cat,"24,531,746"
Chloë Grace Moretz,"24,530,752"
Philippe Coutinho,"24,489,212"
Victoria Justice,"24,481,714"
M·A·C Cosmetics,"24,448,048"
E! News,"24,447,506"
The Good Quote,"24,355,267"
AB de Villiers,"24,352,080"
Taylor Hill,"24,298,793"
Susane Damouni,"24,297,870"
loren gray,"24,259,884"
Lucy Hale,"24,251,844"
Michael B. Jordan,"24,235,349"
Los Angeles Lakers,"24,208,628"
EXO_CY,"24,192,591"
Sandra Dewi,"24,176,536"
Ashley Benson,"24,170,768"
Mike Tyson,"24,157,418"
alexandra daddario,"24,131,786"
Olga Buzova,"24,089,889"
Amr Diab,"23,988,414"
JD PANTOJA ??,"23,945,265"
Najwa Shihab,"23,926,919"
Noah Schnapp,"23,922,377"
QuavoHuncho,"23,911,212"
President Donald J. Trump,"23,835,182"
Meek Mill,"23,801,080"
Bunga Citra Lestari,"23,730,937"
ANLLELA SAGRA,"23,707,833"
Janhvi Kapoor,"23,696,116"
Alfinetadas Dos Famosos ?,"23,619,199"
Júlio Cocielo Estaniecki,"23,600,229"
El Ozo,"23,568,310"
Rakul Singh,"23,550,931"
lilbaby,"23,500,098"
SEHUN,"23,487,740"
irina shayk,"23,436,650"
domelipa,"23,422,975"
Dagelan,"23,385,191"
Raphael Varane,"23,244,621"
Gabriel Jesus,"23,222,228"
Chris Bumstead,"23,183,382"
Russell Westbrook,"23,140,974"
Alyssa Soebandono,"23,120,607"
Rafael Vitti,"23,102,003"
Kaká,"23,093,781"
Finn Wolfhard,"23,084,094"
MEMEZAR • MEMES & MEME-CULTURE,"23,024,061"
Brent Rivera,"22,957,160"
MEL MAIA ?,"22,940,318"
Bunda Maia Mussry The Queen,"22,918,442"
Irish Bella,"22,908,158"
Oprah,"22,865,417"
Richarlison,"22,839,687"
Ruby Rose,"22,753,774"
LUCAS RANGEL,"22,742,928"
OFFSET,"22,672,954"
?LA167x?,"22,666,190"
One Direction,"22,659,962"
Zaskia Adya Mecca,"22,638,274"
Tessa Brooks,"22,621,207"
Amanda ?????,"22,524,237"
Riteish Deshmukh,"22,514,367"
Romeo Santos,"22,491,936"
CARMEN VILLALOBOS,"22,491,272"
Gisele Bündchen,"22,482,590"
Gerard Piqué,"22,464,508"
IRFAN HAKIM,"22,463,524"
Greeicy,"22,426,071"
BUGATTI,"22,389,721"
Bruno Gagliasso,"22,380,837"
Thiago Silva,"22,367,453"
Felicya Angelista,"22,347,025"
Gianluca Vacchi,"22,322,017"
Luiz Bacci,"22,321,088"
Raditya Dika,"22,264,979"
Álvaro Morata,"22,259,011"
Bleacher Report,"22,253,932"
Siew Pui Yi ?,"22,219,501"
Casemiro,"22,175,002"
JADE,"22,148,764"
Sephora,"22,123,801"
Sincero Oficial,"22,069,007"
BaekHyun.,"22,060,880"
Ivan Martinez Perez,"21,992,780"
Yasmine Sabri,"21,961,364"
Mari Maria,"21,926,279"
Joelle Mardinian,"21,851,281"
taraji p henson,"21,839,613"
O GIGANTE,"21,787,577"
Mustafa Hosny مصطفى حسني,"21,782,667"
Luciano Huck,"21,776,384"
Ridwan Kamil,"21,736,783"
nicki.nicole,"21,732,707"
Megan Fox,"21,731,279"
Fernanda Souza,"21,724,884"
Gabrielle Union-Wade,"21,697,919"
OR,"21,667,535"
Simone e Simaria,"21,665,636"
